round_end_date,trial_id,participant_id,round_number,practice_round,num_rounds_since_survey,input_lag,time_for_round, total_screen_width,total_screen_height,time_to_react_from_enemy_bullet,num_invaders_hit,time_of_invader_hit,player_missed_shots,x_pos_of_invader_at_hit,x_pos_of_bullet_at_invader_hit,num_player_shots,num_finished_shots,paddle_width,paddle_takes_percent_width_of_screen,num_errors,time_of_error,pos_of_player_at_error,pos_of_bullet_at_error,errors_per_second,errors_per_danger_second,expected_errors_per_second,num_enemy_bullets_fired,enemy_bullets_fired_per_second_rate,seconds_per_enemy_bullet,max_num_active_enemy_bullets,bullet_speed
2/20/2018 12:10:04 PM,0,0,11,0,5,300,10.0091,16,10,0.8,8,0.7605645:1.634488:2.615807:3.464561:4.354911:5.435025:6.82754:7.906322,2,-0.06917214:-8.392334E-05:0.6105667:0.3650577:0.2466676:0.6361511:0.4521066:-8.487701E-05,0.2962961:0.2962961:0.2962961:0.2962961:0.2962961:0.2962961:0.2962961:0.2962961,10,10,1,0.0625,5,2.656706:4.670799:5.180832:8.65348:8.860655,0.2962961:0.2962961:0.2962961:0.2962961:0.2962961,-0.1967402:0.1162195:0.05358028:0.642724:0.7172022,0.4995452,0.542941,0.4583333,55,6.666667,0.15,5,10.375
2/20/2018 12:10:07 PM,0,0,12,0,6,400,10.01391,16,10,0.8,8,0.7704534:1.646809:2.640571:3.562169:4.463676:5.606564:6.481454:9.970458,1,0.00282526:-0.001237869:0.5933509:0.01078397:0.1265607:-0.003333807:0.396156:0.5568173,0.2962961:0.2962961:0.2962961:0.2962961:0.2962961:0.2962961:0.2962961:0.2962961,9,9,1,0.0625,5,3.923221:7.507715:8.059693:8.40281:9.476049,0.2962961:0.2962961:0.2962961:0.2962961:0.2962961,-0.2354288:-0.01018238:-0.1617842:0.4364767:0.7818651,0.4993052,0.5426576,0.4583333,56,6.666667,0.15,6,10.375
2/20/2018 12:10:08 PM,0,0,13,1,1,0,5.015154,16,10,0.7,5,0.8198837:1.675037:2.609589:3.476812:4.335012,0,0.1089768:-0.005577087:0.6413116:0.1570653:0.2740965,0.2962961:0.2962961:0.2962961:0.2962961:0.2962961,6,5,1,0.0625,1,2.88966,0.2962961,0.2757578,0.1993957,0.2317414,0.4583333,28,6.666667,0.15,4,11.85714
2/20/2018 12:10:11 PM,0,0,14,0,2,0,10.00117,16,10,0.7,6,0.7908906:2.422646:3.316878:4.197694:5.296822:6.313606,2,0.03577447:0.1088238:0.6131829:0.4809098:0.4320498:-0.07142532,0.2962961:0.2962961:0.2962961:0.2962961:0.2962961:0.2962961,9,8,1,0.0625,6,0.7458434:3.473604:6.35788:6.566328:7.692059:8.095047,0.2962961:0.2962961:0.2962961:0.2962961:0.2962961:0.2962961,0.1502523:-0.05551052:0.7261133:0.03595066:0.3544111:0.4105082,0.59993,0.6450804,0.4583333,57,6.666667,0.15,5,11.85714
2/20/2018 12:10:13 PM,0,0,15,0,3,100,10.0364,16,10,0.7,9,0.7642255:1.61864:2.638475:3.715191:4.597115:5.658084:6.528564:7.701023:8.893908,1,-0.00981164:-5.722046E-06:0.5642546:0.512674:0.0365026:0.10997:0.6061745:-0.05973887:0.6285783,0.2962961:0.2962961:0.2962961:0.2962961:0.2962961:0.2962961:0.2962961:0.2962961:0.2962961,10,10,1,0.0625,3,2.159597:5.043907:8.624176,0.2962961:0.2962961:0.2962961,0.08882999:0.3117704:-0.06797504,0.2989119,0.321323,0.4583333,56,6.666667,0.15,5,11.85714
2/20/2018 12:10:16 PM,0,0,16,0,4,200,10.01655,16,10,0.7,8,0.7741289:1.645565:2.610945:3.469936:4.356987:5.600504:6.809679:7.893094,2,0.01573634:-0.001459837:0.6562939:0.1657203:0.257247:-0.0415442:0.3262328:-1.859665E-05,0.2962961:0.2962961:0.2962961:0.2962961:0.2962961:0.2962961:0.2962961:0.2962961,10,10,1,0.0625,4,3.700721:4.415541:5.14975:8.840312,0.2962961:0.2962961:0.2962961:0.2962961,-0.2011461:0.4362345:0.3354254:-0.04255772,0.3993389,0.4293433,0.4583333,57,6.666667,0.15,5,11.85714
2/20/2018 12:10:18 PM,0,0,17,0,5,300,10.00755,16,10,0.7,8,0.8052929:1.700997:2.986437:4.141514:5.239903:6.173651:7.289335:9.772781,1,0.03656721:-0.0106976:0.6612261:0.5693631:0.3369591:0.4994773:0.4451199:0.08676845,0.2962961:0.2962961:0.2962961:0.2962961:0.2962961:0.2962961:0.2962961:0.2962961,10,10,1,0.0625,4,1.438294:2.546101:4.741631:8.094317,0.2962961:0.2962961:0.2962961:0.2962961,-0.07197285:0.7539721:-0.03295803:0.137969,0.3996983,0.4297587,0.4583333,56,6.666667,0.15,3,11.85714
2/20/2018 12:10:21 PM,0,0,18,0,6,400,10.06387,16,10,0.7,7,0.7510378:2.409683:3.3394:4.219069:5.306521:6.346823:9.939592,3,-0.06841826:0.1519275:0.5430277:0.4208999:0.4476171:0.06474188:0.6391217,0.2962961:0.2962961:0.2962961:0.2962961:0.2962961:0.2962961:0.2962961,10,10,1,0.0625,2,0.7510378:6.970244,0.2962961:0.2962961,0.221755:0.4595003,0.1987307,0.2135869,0.4583333,57,6.666667,0.15,5,11.85714
2/20/2018 12:10:22 PM,0,0,19,1,1,0,5.05907,16,10,0.6,4,0.7735879:1.660325:2.604128:3.788408,0,-0.003753066:-0.003193855:0.6419744:0.3567383,0.2962961:0.2962961:0.2962961:0.2962961,5,5,1,0.0625,4,1.087974:2.328294:3.654675:4.849721,0.2962961:0.2962961:0.2962961:0.2962961,-0.07305622:0.2233191:0.1990995:0.4489431,0.7906592,0.8970481,0.4583333,27,6.666667,0.15,3,13.83333
2/20/2018 12:10:25 PM,0,0,20,0,2,0,10.0095,16,10,0.6,9,0.8914294:1.767205:2.675122:3.555324:4.425384:5.585255:6.470645:7.704487:8.765359,1,0.2534053:-0.03548765:0.5449283:0.02710897:0.1685419:-0.01549077:0.4412785:-0.05840755:-0.01826668,0.2962961:0.2962961:0.2962961:0.2962961:0.2962961:0.2962961:0.2962961:0.2962961:0.2962961,10,10,1,0.0625,3,6.722027:7.885492:8.993451,0.2962961:0.2962961:0.2962961,0.1129446:0.02251911:0.01215649,0.2997152,0.3188266,0.4583333,55,6.666667,0.15,4,13.83333
2/20/2018 12:10:27 PM,0,0,21,0,3,100,10.01944,16,10,0.6,8,0.7638174:1.612672:2.628234:4.447387:5.597125:6.457081:8.415117:9.489574,1,-0.04541802:-1.311302E-05:0.6602118:0.1391642:-0.02647614:0.3372701:0.6198192:-0.05914216,0.2962961:0.2962961:0.2962961:0.2962961:0.2962961:0.2962961:0.2962961:0.2962961,8,9,1,0.0625,8,1.756834:2.495347:3.011582:6.457081:6.700511:9.117589:9.266725:9.808571,0.2962961:0.2962961:0.2962961:0.2962961:0.2962961:0.2962961:0.2962961:0.2962961,-0.09117222:0.7104921:-0.1052866:0.1362677:0.2124891:0.3535948:0.8295832:0.8609285,0.7984477,0.8493072,0.4583333,55,6.666667,0.15,4,13.83333
2/20/2018 12:10:30 PM,0,0,22,0,4,200,10.00543,16,10,0.6,9,1.071688:2.184692:3.063226:4.585737:5.608492:6.664443:7.792147:8.94559:9.830591,0,0.5630195:0.5462794:0.3929865:0.06053042:0.007965922:-0.0380159:-0.0677979:0.5406162:-0.0664469,0.2962961:0.2962961:0.2962961:0.2962961:0.2962961:0.2962961:0.2962961:0.2962961:0.2962961,10,9,1,0.0625,5,2.270916:2.643256:3.152828:4.064518:6.88674,0.2962961:0.2962961:0.2962961:0.2962961:0.2962961,-0.1252012:-0.1358576:-0.0819521:0.01275921:0.1554193,0.4997287,0.5316079,0.4583333,55,6.666667,0.15,3,13.83333
2/20/2018 12:10:34 PM,0,0,23,0,5,300,10.00536,16,10,0.6,8,0.760014:1.669765:2.612931:3.511972:4.378026:5.763517:6.878085:7.978036,1,-0.06151438:-0.001651287:0.6381702:0.0419119:0.2112656:0.3664839:0.5523242:-0.02009916,0.2962961:0.2962961:0.2962961:0.2962961:0.2962961:0.2962961:0.2962961:0.2962961,10,9,1,0.0625,6,0.8240542:4.334859:6.286832:7.230273:8.148527:9.545751,0.2962961:0.2962961:0.2962961:0.2962961:0.2962961:0.2962961,-0.1193037:0.7548018:-0.1318121:0.1518126:-0.1870241:0.06678486,0.5996788,0.6379344,0.4583333,58,6.666667,0.15,4,13.83333
2/20/2018 12:10:44 PM,0,0,24,0,6,400,10.00103,16,10,0.6,9,1.363526:2.215069:3.066845:4.04703:5.114424:5.967093:6.815481:7.878593:9.546945,1,-0.06944895:0.4133682:0.2527409:0.6602807:0.2264342:0.04399043:0.4917605:-0.0002958775:0.6592793,0.2962961:0.2962961:0.2962961:0.2962961:0.2962961:0.2962961:0.2962961:0.2962961:0.2962961,10,10,1,0.0625,3,5.99267:7.859797:8.471896,0.2962961:0.2962961:0.2962961,-0.07790661:0.3788328:0.07451725,0.2999693,0.3191141,0.4583333,65,6.666667,0.15,4,13.83333
